category_id,coin_id,year,variable,value
layer-1,cardano,2019,ranking_volumen,6.0
layer-1,hedera-hashgraph,2019,ranking_volumen,0.0
layer-1,fantom,2019,ranking_volumen,1.0
layer-1,bitcoin,2020,ranking_volumen,10.0
layer-1,ethereum,2020,ranking_volumen,9.0
layer-1,bitcoin-cash,2020,ranking_volumen,8.0
layer-1,binancecoin,2020,ranking_volumen,6.0
layer-1,cosmos,2020,ranking_volumen,5.0
layer-1,tezos,2020,ranking_volumen,4.0
layer-1,algorand,2020,ranking_volumen,3.0
layer-1,crypto-com-chain,2020,ranking_volumen,2.0
layer-1,cardano,2020,ranking_volumen,7.0
layer-1,fantom,2020,ranking_volumen,0.0
layer-1,hedera-hashgraph,2020,ranking_volumen,1.0
layer-1,bitcoin,2021,ranking_volumen,10.0
layer-1,ethereum,2021,ranking_volumen,9.0
layer-1,bitcoin-cash,2021,ranking_volumen,8.0
layer-1,binancecoin,2021,ranking_volumen,6.0
layer-1,cosmos,2021,ranking_volumen,5.0
layer-1,tezos,2021,ranking_volumen,3.0
layer-1,fantom,2021,ranking_volumen,2.0
layer-1,cardano,2021,ranking_volumen,7.0
layer-1,algorand,2021,ranking_volumen,4.0
layer-1,crypto-com-chain,2021,ranking_volumen,1.0
layer-1,hedera-hashgraph,2021,ranking_volumen,0.0
layer-1,bitcoin,2022,ranking_volumen,10.0
layer-1,ethereum,2022,ranking_volumen,9.0
layer-1,bitcoin-cash,2022,ranking_volumen,6.0
layer-1,binancecoin,2022,ranking_volumen,8.0
layer-1,cosmos,2022,ranking_volumen,5.0
layer-1,tezos,2022,ranking_volumen,2.0
layer-1,fantom,2022,ranking_volumen,4.0
layer-1,algorand,2022,ranking_volumen,3.0
layer-1,cardano,2022,ranking_volumen,7.0
layer-1,crypto-com-chain,2022,ranking_volumen,1.0
layer-1,hedera-hashgraph,2022,ranking_volumen,0.0
layer-1,bitcoin,2023,ranking_volumen,10.0
layer-1,ethereum,2023,ranking_volumen,9.0
layer-1,bitcoin-cash,2023,ranking_volumen,6.0
layer-1,binancecoin,2023,ranking_volumen,8.0
