,category,count,count_shr
0,Stablecoins,5,100.0
1,Ethereum Ecosystem,5,100.0
2,USD Stablecoin,2,40.0
3,Finance / Banking,2,40.0
4,Polygon Ecosystem,2,40.0
5,BNB Chain Ecosystem,1,20.0
6,Solana Ecosystem,1,20.0
7,Avalanche Ecosystem,1,20.0
8,TRY Stablecoin,1,20.0
9,Cryptocurrency,1,20.0
10,EUR Stablecoin,1,20.0
11,XDC Ecosystem,1,20.0
12,Asset-backed Tokens,1,20.0
13,Tokenized Gold,1,20.0
14,Harmony Ecosystem,1,20.0
