,category,count,count_shr
0,Layer 1 (L1),5,100.0
1,Smart Contract Platform,3,60.0
2,Alleged SEC Securities,2,40.0
3,Cryptocurrency,2,40.0
4,BNB Chain Ecosystem,2,40.0
5,Ethereum Ecosystem,2,40.0
6,Cosmos Ecosystem,1,20.0
7,Canto Ecosystem,1,20.0
8,Exchange-based Tokens,1,20.0
9,Centralized Exchange (CEX),1,20.0
10,Avalanche Ecosystem,1,20.0
11,Moonriver Ecosystem,1,20.0
12,Polygon Ecosystem,1,20.0
